barcodes,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA-DR,IgD,IgG1-K-Isotype-Control,IgM,KLRG1,TCR-Va24-Ja18,TCR-Va7.2,TCR-a/b,TCR-g/d
19685a424f8711eb841542010a19c80f,2,2,2,31,0,3,2,4,7,13,486,5,12,69,95,0,1,0,1,3,16,0,2,95,24,5,72,201,14,9,1,10,6,5,8,4,1,383,15,5,6,14,3,0,10,93
19685ace4f8711eb841542010a19c80f,4,0,5,0,0,6,2,11,7,1,6,3,3,3,14,0,1,26,0,2,104,1,11,9,1,1,6,39,74,5,6,3,2,0,413,51,3,14,0,2,5,204,9,1,35,39
19685b1e4f8711eb841542010a19c80f,4,0,1,2,6,2,1,4,7,0,12,4,13,14,15,1,4,64,4,4,96,2,3,51,1,0,1,465,11,7,0,2,4,1,228,18,1,9,4,1,8,20,8,1,27,37
19685baa4f8711eb841542010a19c80f,8,32,443,7,2,367,10,6,192,3,356,47,6,163,284,4,2,18,0,4,17,1,0,226,21,60,42,917,64,10,142,9,7,152,13,149,3,199,19,1,426,17,3,0,12,492
19685c2c4f8711eb841542010a19c80f,3,5,150,3,2,7,0,749,31,0,4,2,1,1,5,0,2,2,0,6,4,1,6,263,0,4,4,370,6,89,3,2,3,2,12,14,2,8,0,3,3,246,2,1,8,28
19685c864f8711eb841542010a19c80f,26,0,2,28,2,6,5,6,1,3,263,1,4,160,747,14,3,17,0,6,17,0,2,11,12,2,35,782,10,4,2,27,2,3,22,5,31,74,3,4,692,14,2,0,7,243
19685d084f8711eb841542010a19c80f,3,0,6,2,8,6,2,5,6,1,2,2,6,0,9,3,4,55,6,86,203,1,4,8,1,258,3,11,160,7,1,5,3,4,10,24,0,5,2,1,3,107,0,0,42,24
19685d944f8711eb841542010a19c80f,1,0,51,2,2,41,3,1,40,0,5,12,8,0,11,2,0,4,0,3,10,0,0,3,2,4,0,7,17,7,0,6,4,4,7,13,0,12,0,0,2,5,2,0,8,26
19685dee4f8711eb841542010a19c80f,3,0,5,7,22,2,1,3,3,1,4,2,16,1,7,4,3,121,2,3,292,1,1,8,0,229,3,37,58,6,1,5,4,1,15,44,0,7,1,1,1,15,6,0,137,41
19685e704f8711eb841542010a19c80f,1,0,3,2,2,4,2,3,4,3,4,4,4,0,8,0,1,10,2,1,51,0,4,18,5,127,1,72,15,4,1,1,4,1,13,7,2,4,0,2,1,10,1,0,16,31
19685ef24f8711eb841542010a19c80f,0,0,0,21,0,5,6,3,2,8,618,5,4,123,103,0,1,5,0,4,13,1,1,63,34,3,49,127,10,9,1,15,6,2,5,4,2,260,12,3,20,10,2,0,7,111
19685f924f8711eb841542010a19c80f,0,0,2,1,0,3,3,6,2,1,1,3,3,1,13,1,3,6,4,3,39,1,2,3,0,179,3,10,56,4,2,10,1,1,19,29,1,13,1,1,1,14,2,0,16,21
19685fe24f8711eb841542010a19c80f,4,1,7,0,3,3,2,9,7,0,5,5,4,2,16,16,2,68,1,6,128,1,2,22,0,100,3,205,15,2,0,3,4,0,8,16,2,9,1,0,3,14,3,2,38,34
196860644f8711eb841542010a19c80f,2,0,1,0,4,5,6,2,6,1,5,17,6,0,8,2,5,54,2,2,144,2,4,7,1,2,1,26,108,58,0,0,5,0,14,19,2,4,0,0,2,401,366,2,45,34
196860e64f8711eb841542010a19c80f,1,0,2,1,5,2,2,2,5,0,6,3,4,2,20,3,2,24,7,4,186,2,2,104,0,112,5,148,9,5,0,5,0,1,10,11,0,8,0,1,2,9,3,0,51,31
196861684f8711eb841542010a19c80f,0,0,2,56,1,3,2,4,1,24,381,2,9,84,78,4,3,3,0,3,69,1,3,78,5,3,43,449,8,7,0,4,0,1,13,2,1,113,88,2,311,6,4,1,9,158
196861ea4f8711eb841542010a19c80f,2,1,2,1,16,6,3,2,6,0,3,1,5,1,15,2,4,42,2,21,98,0,3,6,0,216,1,10,274,6,1,2,4,2,14,71,1,8,0,1,5,144,17,0,21,31
1968626c4f8711eb841542010a19c80f,2,0,5,3,27,6,4,7,6,0,5,9,13,1,11,1,5,132,11,6,397,1,1,153,1,236,3,316,15,7,1,3,3,0,7,16,3,8,1,0,4,16,4,2,127,40
196862c64f8711eb841542010a19c80f,7,0,2,126,4,4,4,10,15,11,509,5,23,149,71,9,4,24,6,6,101,1,0,85,6,134,31,280,11,12,1,23,7,5,17,7,29,213,207,0,146,27,11,0,25,344
196863484f8711eb841542010a19c80f,6,0,0,2,14,2,1,7,1,0,3,5,18,5,14,0,1,93,13,4,566,1,2,49,0,171,2,247,6,9,1,4,3,1,11,5,2,5,1,1,3,24,4,0,272,36
196863ca4f8711eb841542010a19c80f,2,0,1,1,9,5,2,1,3,1,2,5,10,0,13,2,7,70,6,3,387,0,0,54,0,160,4,177,6,7,2,20,1,1,12,7,2,3,1,3,3,8,3,0,93,47
1968641a4f8711eb841542010a19c80f,2,0,1,1,4,4,1,10,7,1,6,10,4,1,11,1,0,5,2,5,40,0,2,9,0,143,5,14,50,5,0,1,4,1,11,22,2,5,1,1,2,40,3,0,12,28
1968649c4f8711eb841542010a19c80f,3,0,3,58,1,7,4,2,4,9,311,1,6,36,39,2,3,3,0,3,7,1,3,118,13,1,37,123,7,6,0,4,4,6,10,3,0,1151,19,1,12,16,1,0,13,89
1968655a4f8711eb841542010a19c80f,1,1,1,3,12,5,0,6,8,1,1,10,5,2,15,2,1,15,14,35,284,0,0,3,0,278,1,9,206,11,1,7,4,0,7,67,0,2,0,1,3,27,3,0,30,35
196865dc4f8711eb841542010a19c80f,3,3,4,17,1,1,13,3,8,13,592,5,21,117,49,1,2,5,1,4,20,0,2,107,29,1,51,144,5,13,0,46,3,1,7,6,2,278,30,1,76,13,5,0,5,153
1968662c4f8711eb841542010a19c80f,0,9,382,12,0,194,14,4,223,1,2,47,4,0,15,4,1,3,1,1,14,0,1,34,7,27,5,8,46,1,1,4,3,44,11,32,3,34,0,3,6,19,3,0,17,35
196866b84f8711eb841542010a19c80f,5,2,8,3,1,2,2,10,14,0,8,7,7,1,14,0,0,10,11,43,297,2,16,9,1,227,5,20,192,3,4,3,5,0,41,47,2,12,0,2,2,386,2,0,16,27
1968673a4f8711eb841542010a19c80f,1,0,6,1,13,10,6,1,7,1,5,7,6,0,8,0,2,4,0,3,57,3,2,4,0,1,3,31,4,120,2,6,2,2,57,17,3,7,1,0,6,74,2,3,11,46
1968678a4f8711eb841542010a19c80f,1,0,2,1,17,5,6,4,10,2,2,4,12,2,18,18,0,44,3,1,344,1,2,92,0,274,4,81,7,1,3,0,2,1,24,10,2,7,0,1,0,21,9,1,78,34
196868164f8711eb841542010a19c80f,29,0,4,17,3,4,2,1,6,1,226,20,3,15,659,1,3,2,2,4,23,2,0,196,1,5,23,147,5,4,2,13,5,0,19,2,3,101,46,3,116,12,9,2,12,105
1968688e4f8711eb841542010a19c80f,6,0,0,4,1,13,15,4,5,9,377,2,6,123,160,3,2,6,0,3,16,0,2,163,24,0,26,277,7,7,3,7,10,6,11,4,5,152,55,0,259,12,4,1,15,152
196868e84f8711eb841542010a19c80f,3,6,853,26,2,428,26,12,435,0,7,33,10,1,14,4,3,2,3,8,26,0,10,107,14,54,2,17,37,13,2,7,13,170,17,164,2,213,0,2,4,14,12,0,24,39
196869604f8711eb841542010a19c80f,2,0,3,0,6,6,2,8,5,0,5,10,5,0,8,0,0,16,3,13,155,1,7,7,1,3,1,375,7,6,0,3,6,4,349,38,2,13,1,0,1,214,3,0,23,41
196869f64f8711eb841542010a19c80f,9,11,782,25,3,480,23,6,513,0,3,25,4,0,13,2,2,3,0,6,26,3,2,44,28,49,10,10,28,4,4,11,2,79,13,55,0,350,0,3,2,12,6,0,17,28
19686a784f8711eb841542010a19c80f,3,5,105,1,0,49,8,797,43,0,8,8,5,2,14,2,0,5,0,4,30,1,22,141,2,13,4,197,16,88,3,0,3,4,12,15,2,19,0,0,3,102,6,0,7,25
19686ad24f8711eb841542010a19c80f,2,0,5,2,28,5,2,4,5,0,7,1,4,1,12,1,3,73,4,20,465,1,7,16,1,297,10,11,218,6,0,4,7,1,14,77,1,7,2,1,3,6,2,1,85,31
19686b5e4f8711eb841542010a19c80f,4,1,1,4,13,1,6,6,6,1,3,3,3,0,15,5,3,75,3,2,430,0,3,23,3,213,2,149,10,3,0,8,4,1,10,12,3,6,0,1,5,8,3,0,146,34
19686be04f8711eb841542010a19c80f,0,0,11,1,3,6,4,3,7,1,7,8,10,3,19,2,5,8,0,3,55,1,4,5,1,109,4,17,38,12,1,2,3,4,19,18,3,6,0,5,2,19,8,0,15,42
19686c304f8711eb841542010a19c80f,1,0,2,2,0,1,1,4,5,1,4,1,7,1,11,1,3,7,1,3,15,1,1,2,1,0,2,10,13,4,0,0,3,0,7,3,1,11,0,0,1,10,3,0,11,26
19686cb24f8711eb841542010a19c80f,9,0,3,5,30,8,12,7,10,2,5,35,33,5,37,8,9,138,14,55,460,0,1,43,0,311,4,385,39,13,0,27,6,3,17,97,9,11,2,5,7,106,16,0,184,115
19686d344f8711eb841542010a19c80f,3,3,0,3,1,6,2,7,3,0,6,4,4,1,8,3,1,3,3,11,58,4,2,5,1,32,5,33,17,4,0,1,4,0,213,11,2,10,0,0,7,18,2,0,21,37
19686d844f8711eb841542010a19c80f,0,0,2,2,22,6,0,7,11,0,7,4,13,0,13,2,1,60,6,5,516,1,2,21,0,382,3,104,19,5,0,9,5,1,14,5,2,11,0,2,4,13,1,0,68,46
19686e104f8711eb841542010a19c80f,3,1,8,2,5,3,4,10,7,1,7,12,7,2,12,3,4,35,0,24,443,0,2,7,0,0,4,22,194,7,1,0,8,1,8,35,3,7,0,3,4,288,6,1,14,53
19686e884f8711eb841542010a19c80f,3,17,561,40,2,327,22,6,242,1,7,145,5,1,15,4,8,9,1,5,22,1,3,88,15,111,14,17,118,10,3,3,7,82,11,101,2,248,0,1,6,22,6,1,16,41
19686f004f8711eb841542010a19c80f,4,0,197,17,0,6,6,7,83,14,998,3,10,81,41,4,4,23,1,7,7,2,0,48,38,4,50,597,6,7,2,102,6,8,12,36,0,326,108,3,249,12,4,0,7,121
19686f644f8711eb841542010a19c80f,1,0,4,3,17,7,13,7,5,0,3,3,4,1,19,12,1,3,2,44,231,3,2,2,0,296,4,9,123,3,4,5,4,1,6,94,1,5,0,1,0,14,3,0,39,40
19686fe64f8711eb841542010a19c80f,1,0,3,1,22,5,3,10,6,1,6,4,8,3,22,5,1,12,8,14,173,3,2,5,1,298,7,6,170,4,0,41,5,2,14,161,2,8,0,1,5,15,6,1,25,50
196870b84f8711eb841542010a19c80f,9,0,0,4,6,4,1,4,4,0,5,4,7,0,11,1,1,36,3,4,96,1,0,12,0,175,3,165,14,1,1,2,6,0,5,8,2,5,0,2,2,16,3,0,24,26
1968711c4f8711eb841542010a19c80f,5,1,3,3,5,1,3,3,8,1,5,10,13,3,13,11,5,76,42,7,370,1,0,90,0,250,6,297,7,6,0,3,2,1,5,4,3,6,0,1,2,22,4,1,97,41
1968719e4f8711eb841542010a19c80f,1,0,1,2,8,6,1,2,3,0,7,8,10,4,5,1,2,50,8,41,123,0,4,5,0,4,9,120,16,2,1,1,5,1,760,62,3,4,0,0,1,30,2,2,30,29
196872204f8711eb841542010a19c80f,22,0,3,8,1,10,4,7,5,9,221,6,10,55,124,1,1,15,0,6,40,0,1,173,3,200,26,303,25,0,0,4,5,5,14,5,1,301,62,3,6,12,3,1,17,238
196872704f8711eb841542010a19c80f,3,5,143,2,4,4,4,155,18,0,46,10,6,15,21,0,2,5,0,4,31,4,6,381,1,178,7,320,78,106,2,4,4,1,16,33,0,15,0,1,16,54,5,0,19,43
196872f24f8711eb841542010a19c80f,59,1,2,4,2,8,6,7,9,0,65,3,7,7,505,1,3,1,0,4,16,1,1,177,0,0,9,49,10,4,1,13,0,3,15,5,2,27,2,3,206,12,4,0,7,38
196873884f8711eb841542010a19c80f,5,1,1,0,1,2,5,2,4,5,151,4,3,13,96,0,1,3,0,3,9,4,2,45,3,3,39,169,10,5,2,22,8,1,10,7,2,112,0,4,4,15,4,0,25,50
1968740a4f8711eb841542010a19c80f,0,0,0,24,1,8,2,5,637,13,473,9,102,72,24,1,1,6,0,9,12,1,0,73,14,2,36,124,10,2,0,17,4,4,8,6,0,436,49,1,11,10,10,0,10,74
1968745a4f8711eb841542010a19c80f,2,0,0,8,0,9,1,1,3,20,300,3,11,78,18,0,3,5,0,2,14,0,1,45,17,1,77,251,4,5,0,45,7,1,6,6,1,285,26,0,28,9,5,0,12,69
196874f04f8711eb841542010a19c80f,0,1,110,3,1,5,3,127,30,2,3,8,4,0,12,0,2,0,1,8,7,3,7,85,0,6,3,143,6,85,1,0,6,0,13,10,1,3,1,0,2,79,2,0,11,35
1968757c4f8711eb841542010a19c80f,3,0,1,0,0,0,5,7,5,0,5,0,4,0,20,0,3,11,2,2,58,0,3,15,2,173,2,13,52,4,0,3,6,0,6,21,2,6,0,1,2,13,2,0,12,27
196875d64f8711eb841542010a19c80f,3,0,2,4,6,5,4,5,12,0,7,6,13,1,12,2,2,33,4,5,181,3,0,79,2,173,2,249,7,5,2,1,9,2,13,7,0,7,1,5,6,21,3,1,44,36
196876584f8711eb841542010a19c80f,1,0,3,0,19,3,6,5,5,0,3,19,4,0,12,7,1,47,13,34,184,1,5,7,1,263,1,11,385,4,0,3,5,2,19,99,5,8,0,2,7,16,6,0,42,53
196876da4f8711eb841542010a19c80f,2,0,6,1,44,6,1,4,5,0,6,9,9,0,17,2,0,43,5,4,214,2,2,15,0,310,2,23,207,1,1,0,2,2,10,64,2,4,0,2,4,249,6,0,24,30
1968772a4f8711eb841542010a19c80f,4,0,3,1,25,2,9,1,3,0,2,3,13,1,13,4,2,59,16,3,318,2,0,75,0,252,3,230,8,2,2,1,1,1,10,7,2,9,1,3,4,13,3,1,119,32
196877ac4f8711eb841542010a19c80f,1,0,4,0,24,6,3,5,4,0,1,10,2,0,11,34,4,26,5,34,330,2,1,1,0,355,5,8,110,6,1,35,3,1,5,113,0,3,0,2,6,92,5,0,73,25
