,Unnamed: 0
868,USP19
869,CCDC71
870,APEH
871,MST1
872,RNF123
873,UBA7
874,RBM5
875,NAA80
876,NPRL2
877,CYB561D2
878,MAPKAPK3
879,DOCK3
880,RAD54L2
881,TEX264
882,ABHD14A
883,ALAS1
884,PPM1M
885,DNAH1
886,BAP1
887,PHF7
888,NISCH
889,NEK4
890,ITIH4
891,SFMBT1
892,RFT1
893,PRKCD
894,TKT
895,CACNA1D
896,ARHGEF3
897,DENND6A-AS1
898,SLMAP
899,FLNB
900,PXK
901,AC135507.1
902,FHIT
903,PSMD6
904,LRIG1
905,TAFA1
906,UBA3
907,FRMD4B
908,FOXP1-AS1
909,FOXP1-IT1
910,EIF4E3
911,ROBO1
912,NSUN3
913,ARL6
914,CRYBG3
915,ST3GAL6
916,DCBLD2
917,CMSS1
918,FILIP1L
919,AC084198.2
920,CEP97
921,NFKBIZ
922,ALCAM
923,CBLB
924,DZIP3
925,NECTIN3
926,CD96
927,PLCXD2
928,PHLDB2
929,GCSAM
930,SLC9C1
931,CFAP44
932,ATP6V1A
933,GRAMD1C
934,AC093010.2
935,ZNF80
936,TIGIT
937,ZBTB20-AS5
938,AC026341.1
939,AC068633.1
940,IGSF11
941,ARHGAP31
942,TMEM39A
943,CD80
944,POPDC2
945,LRRC58
946,IQCB1
947,CD86
948,CSTA
949,SLC49A4
950,SEC22A
951,HACD2
952,SNX4
953,LINC02614
954,MGLL
955,SEC61A1
956,EEFSEC
957,RPN1
958,AC108673.3
959,COPG1
960,H1FX
961,EFCAB12
962,PLXND1
963,ALG1L2
964,PIK3R4
965,ATP2C1
966,ASTE1
967,NEK11
968,DNAJC13
969,ACAD11
970,NPHP3
971,BFSP2
972,TOPBP1
973,PPP2R3A
974,NCK1-DT
975,NME9
976,CEP70
977,PIK3CB
978,AC046134.2
979,TFDP2
980,GK5
981,ATR
982,CHST2
983,SLC9A9
984,DIPK2A
985,PLSCR1
986,GYG1
987,HLTF
988,WWTR1
989,COMMD2
990,ANKUB1
991,PFN2
992,P2RY14
993,RAP2B
994,C3orf33
995,AC104472.4
996,GMPS
997,AC091607.2
998,LINC02029
999,AC092944.1
1000,PTX3
1001,RSRC1
1002,AC106707.1
1003,MLF1
1004,GFM1
1005,LXN
1006,MFSD1
1007,SMC4
1008,PPM1L
1009,LINC01322
1010,GPR160
1011,PRKCI
1012,TNIK
1013,PLD1
1014,FNDC3B
1015,NCEH1
1016,NAALADL2
1017,KCNMB2-AS1
1018,PIK3CA
1019,GNB4
1020,USP13
1021,SOX2-OT
1022,MCCC1
1023,LAMP3
1024,MCF2L2
1025,B3GNT5
1026,KLHL6
1027,ABCF3
1028,EIF4G1
1029,POLR2H
1030,VPS8
1031,IGF2BP2
1032,DGKG
1033,ST6GAL1
1034,BCL6
1035,LPP
1036,TPRG1
1037,IL1RAP
1038,OPA1-AS1
1039,HES1
1040,ATP13A3
1041,LINC00884
1042,TMEM44-AS1
1043,LSG1
1044,ACAP2
1045,TCTEX1D2
1046,PIGX
1047,CEP19
1048,NCBP2AS2
1049,DLG1
1050,AC024560.5
1051,LMLN
1052,ZNF718
1053,AC092574.2
1054,PIGG
1055,SLC49A3
1056,PCGF3
1057,AC139887.2
1058,IDUA
1059,SPON2
1060,CTBP1
1061,UVSSA
1062,AC147067.1
1063,FAM53A
1064,TMEM129
1065,LETM1
1066,NSD2
1067,C4orf48
1068,MXD4
1069,ZFYVE28
1070,FAM193A
1071,SH3BP2
1072,NOP14-AS1
1073,NOP14
1074,RGS12
1075,TMEM128
1076,LYAR
1077,STX18
1078,S100P
1079,MRFAP1L1
1080,CCDC96
1081,SORCS2
1082,SH3TC1
1083,TRMT44
1084,AC005674.2
1085,CLNK
1086,HS3ST1
1087,AC006230.1
1088,AC005699.1
1089,RAB28
1090,LINC00504
1091,CPEB2
1092,AC098829.1
1093,CC2D2A
1094,BST1
1095,CD38
1096,FGFBP2
1097,LDB2
